"Word","Definition"
"Deleted","to eliminate especially by blotting out, cutting out, or erasing"
"new","having recently come into existence : recent, modern having been seen, used, or known for a short time : novel unfamiliarhaving recently come into existence : recent, modern having been seen, used, or known for a short time : novel unfamiliarhaving recently come into existence : recent, modern having been seen, used, or known for a short time : novel unfamiliar"
"text","the original words and form of a written or printed work an edited or emended copy of an original work a work containing such textthe original words and form of a written or printed work an edited or emended copy of an original work a work containing such textthe original words and form of a written or printed work an edited or emended copy of an original work a work containing such text"
"file","a tool usually of hardened steel with cutting ridges for forming or smoothing surfaces especially of metal a shrewd or crafty persona tool usually of hardened steel with cutting ridges for forming or smoothing surfaces especially of metal a shrewd or crafty person"
